"PREC_IDENT","PREC_NAME","DISTRICT","POLLING_PL","ADDRESS","CITY","ZIP","SHAPE_AREA","SHAPE_LEN"
507,"LINCOLNIA","Mason","Green Spring Gardens Park","4603 Green Spring Rd","Alexandria",22312,30205400.6339,25764.4618126
911,"NAVY","Sully","Navy Elementary School","3500 West Ox Rd","Fairfax",22033,41483575.8695,32453.4694444
226,"WOLFTRAP","Hunter Mill","Wolftrap Elementary School","1903 Beulah Rd","Vienna",22182,62041072.2849,47997.2556414
115,"RAVENSWORTH","Braddock","Ravensworth Elementary School","5411 Nutting Dr","Springfield",22151,27083322.3179,23376.5164063
704,"FREEDOM HILL","Providence","Freedom Hill Elementary School","1945 Lord Fairfax Rd","Vienna",22182,26529661.5655,26864.3933093
622,"LORTON STATION","Mount Vernon","Lorton Station Elementary School","9298 Lewis Chapel Rd","Lorton",22079,26420174.9386,24666.0859772
321,"CLEARVIEW","Dranesville","Clearview Elementary School","12635 Builders Rd","Herndon",20170,32520931.2755,34144.2969434
325,"HUTCHISON","Dranesville","Hutchison Elementary School","13209 Parcher Ave","Herndon",20170,16315913.9505,17399.0367834
329,"SENECA","Dranesville","Forestville Elementary School","1085 Utterback Store Rd","Great Falls",22066,190144078.916,64282.6080328
203,"FLORIS","Hunter Mill","Floris Elementary School","2708 Centreville Rd","Herndon",20171,39306127.4994,39911.0899882
320,"HERNDON #2","Dranesville","Herndon Community Center","814 Ferndale Ave","Herndon",20170,36514999.6194,28490.5543431
712,"SHREVE","Providence","Shrevewood Elementary School","7525 Shreve Rd","Falls Church",22043,11838958.5158,16856.3247321
608,"KIRKSIDE","Mount Vernon","Hollin Meadows Elementary School","2310 Nordok Pl","Alexandria",22306,26000609.8522,27220.9903284
721,"MERRIFIELD","Providence","Luther Jackson Middle School","3020 Gallows Rd","Falls Church",22042,35971150.4909,28540.5048256
229,"FOX MILL","Hunter Mill","Fox Mill Elementary School","2611 Viking Dr","Herndon",20171,56970888.7115,32949.4628411
225,"TERRASET","Hunter Mill","Terraset Elementary School","11411 Ridge Heights Rd","Reston",20191,20947130.7906,21117.4751233
235,"FRYING PAN","Hunter Mill","Visitor Center at Frying Pan Farm Park","2739 West Ox Rd","Herndon",20171,23918442.4812,22770.5055643
327,"SUGARLAND","Dranesville","Herndon High School","700 Bennett St","Herndon",20170,53520398.6337,35286.6163862
719,"STENWOOD","Providence","Stenwood Elementary School","2620 Gallows Rd","Vienna",22180,13277247.224,22556.8015104
604,"BUCKNELL","Mount Vernon","Bryant Center","2709 Popkins Ln","Alexandria",22306,28703422.7378,31210.8311878
